,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,log message,log key,record id,parameter value vector,seq_path,path_pred,para_pred,fin_res
87,87,87,87,87,87,87,87,87,87,87,2020-06-26 13:22:49 The Windows Filtering Platform has permitted a connection,The Windows Filtering Platform has <*> a <*>,1530844,"[0.0, 0.82045, 0.73645]","[16.0, 16.0, 16.0, 16.0, 16.0, 16]",0,0,0
88,88,88,88,88,88,88,88,88,88,88,2020-06-26 13:22:49 The Windows Filtering Platform has permitted a connection,The Windows Filtering Platform has <*> a <*>,1530872,"[24.0, 0.82045, 0.73645]","[16.0, 16.0, 16.0, 16.0, 16.0, 16]",0,0,0
89,89,89,89,89,89,89,89,89,89,89,2020-06-26 13:23:13 The Windows Filtering Platform has permitted a connection,The Windows Filtering Platform has <*> a <*>,1530845,"[0.0, 0.82045, 0.73645]","[16.0, 16.0, 16.0, 16.0, 16.0, 16]",0,0,0
90,90,90,90,90,90,90,90,90,90,90,2020-06-26 13:23:13 The Windows Filtering Platform has permitted a connection,The Windows Filtering Platform has <*> a <*>,1530873,"[0.0, 0.82045, 0.73645]","[16.0, 16.0, 16.0, 16.0, 16.0, 17]",0,0,0
91,91,91,91,91,91,91,91,91,91,91,2020-06-26 13:23:13 The Windows Filtering Platform has permitted a connection,The Windows Filtering Platform has <*> a <*>,1530878,"[0.0, 0.82045, 0.73645]","[16.0, 16.0, 16.0, 16.0, 17.0, 16]",0,0,0
92,92,92,92,92,92,92,92,92,92,92,2020-06-26 13:23:13 The Windows Filtering Platform has permitted a connection,The Windows Filtering Platform has <*> a <*>,1530879,"[0.0, 0.82045, 0.73645]","[16.0, 16.0, 16.0, 17.0, 16.0, 16]",0,0,0
93,93,93,93,93,93,93,93,93,93,93,2020-06-26 13:23:13 The Windows Filtering Platform has permitted a connection,The Windows Filtering Platform has <*> a <*>,1530882,"[0.0, 0.82045, 0.73645]","[16.0, 16.0, 17.0, 16.0, 16.0, 12]",1,0,0
94,94,94,94,94,94,94,94,94,94,94,2020-06-26 13:23:13 The Windows Filtering Platform has permitted a connection,The Windows Filtering Platform has <*> a <*>,1530846,"[36.0, 0.82045, 0.73645]","[16.0, 17.0, 16.0, 16.0, 12.0, 6]",0,0,0
95,95,95,95,95,95,95,95,95,95,95,2020-06-26 13:23:49 The Windows Filtering Platform has permitted a bind to a local port,The Windows Filtering Platform has permitted a bind to a local port,1530874,[0.0],"[17.0, 16.0, 16.0, 12.0, 6.0, 9]",0,0,0
96,96,96,96,96,96,96,96,96,96,96,2020-06-26 13:23:49 The Windows Filtering Platform has permitted a connection,The Windows Filtering Platform has <*> a <*>,1530848,"[0.0, 0.82045, 0.73645]","[16.0, 16.0, 12.0, 6.0, 9.0, 5]",0,0,0
97,97,97,97,97,97,97,97,97,97,97,2020-06-26 13:23:49 The Windows Filtering Platform has permitted a connection,The Windows Filtering Platform has <*> a <*>,1530876,"[0.0, 0.82045, 0.73645]","[16.0, 12.0, 6.0, 9.0, 5.0, 16]",0,0,0
98,98,98,98,98,98,98,98,98,98,98,2020-06-26 13:23:49 Special privileges assigned to new logon,Special privileges assigned to new logon,1530884,[0.0],"[12.0, 6.0, 9.0, 5.0, 16.0, 16]",0,0,0
99,99,99,99,99,99,99,99,99,99,99,2020-06-26 13:23:49 An account was successfully logged on,An account was successfully logged on,1530849,[0.0],"[6.0, 9.0, 5.0, 16.0, 16.0, 16]",0,0,0
