['334', '324', '348', '319', '337'],315
['324', '348', '319', '337', '315'],348
['348', '319', '337', '315', '348'],319
['319', '337', '315', '348', '319'],337
['337', '315', '348', '319', '337'],325
['315', '348', '319', '337', '325'],328
['348', '319', '337', '325', '328'],358
['319', '337', '325', '328', '358'],344
['337', '325', '328', '358', '344'],336
['325', '328', '358', '344', '336'],312
['328', '358', '344', '336', '312'],350
['358', '344', '336', '312', '350'],343
['344', '336', '312', '350', '343'],343
['336', '312', '350', '343', '343'],344
['312', '350', '343', '343', '344'],336
['350', '343', '343', '344', '336'],344
['343', '343', '344', '336', '344'],336
['343', '344', '336', '344', '336'],344
['344', '336', '344', '336', '344'],336
['336', '344', '336', '344', '336'],312
['344', '336', '344', '336', '312'],350
['336', '344', '336', '312', '350'],343
['344', '336', '312', '350', '343'],344
['336', '312', '350', '343', '344'],336
['312', '350', '343', '344', '336'],344
['350', '343', '344', '336', '344'],336
['343', '344', '336', '344', '336'],357
['344', '336', '344', '336', '357'],359
['336', '344', '336', '357', '359'],326
['344', '336', '357', '359', '326'],314
['336', '357', '359', '326', '314'],359
['357', '359', '326', '314', '359'],326
['359', '326', '314', '359', '326'],320
['326', '314', '359', '326', '320'],359
['314', '359', '326', '320', '359'],326
['359', '326', '320', '359', '326'],327
['326', '320', '359', '326', '327'],359
['320', '359', '326', '327', '359'],326
['359', '326', '327', '359', '326'],344
['326', '327', '359', '326', '344'],336
['327', '359', '326', '344', '336'],327
['359', '326', '344', '336', '327'],359
['326', '344', '336', '327', '359'],326
['344', '336', '327', '359', '326'],347
['336', '327', '359', '326', '347'],359
['327', '359', '326', '347', '359'],326
['359', '326', '347', '359', '326'],347
['326', '347', '359', '326', '347'],359
['347', '359', '326', '347', '359'],326
['359', '326', '347', '359', '326'],344
['326', '347', '359', '326', '344'],336
['347', '359', '326', '344', '336'],344
['359', '326', '344', '336', '344'],336
['326', '344', '336', '344', '336'],312
['344', '336', '344', '336', '312'],343
['336', '344', '336', '312', '343'],344
['344', '336', '312', '343', '344'],336
['336', '312', '343', '344', '336'],342
